fighter,5D,Ref,event_odds_url,event_ufcstats_url,event_id,event_name
Nik Lentz,190.0,,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317,http://www.ufcstats.com/event-details/dd992d569aaebee6,ufc-123-rampage-vs-machida-317,UFC 123: Rampage vs Machida
Stefan Struve,-120.0,,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313,http://www.ufcstats.com/event-details/132f860d02953f4c,ufc-124-st-pierre-vs-koscheck-ii-313,UFC 124: St-Pierre vs Koscheck 2
Charles Oliveira,-150.0,,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313,http://www.ufcstats.com/event-details/132f860d02953f4c,ufc-124-st-pierre-vs-koscheck-ii-313,UFC 124: St-Pierre vs Koscheck 2
Jim Miller,140.0,,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313,http://www.ufcstats.com/event-details/132f860d02953f4c,ufc-124-st-pierre-vs-koscheck-ii-313,UFC 124: St-Pierre vs Koscheck 2
John Howard,270.0,,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313,http://www.ufcstats.com/event-details/132f860d02953f4c,ufc-124-st-pierre-vs-koscheck-ii-313,UFC 124: St-Pierre vs Koscheck 2
Thiago Alves,-300.0,,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313,http://www.ufcstats.com/event-details/132f860d02953f4c,ufc-124-st-pierre-vs-koscheck-ii-313,UFC 124: St-Pierre vs Koscheck 2
John Makdessi,125.0,,https://www.bestfightodds.com/events/ufc-124-st-pierre-vs-koscheck-ii-313,http://www.ufcstats.com/event-details/132f860d02953f4c,ufc-124-st-pierre-vs-koscheck-ii-313,UFC 124: St-Pierre vs Koscheck 2
Anderson Silva,-210.0,,https://www.bestfightodds.com/events/ufc-126-silva-vs-belfort-338,http://www.ufcstats.com/event-details/65ddc8a9ac4e8531,ufc-126-silva-vs-belfort-338,UFC 126: Silva vs Belfort
Jon Jones,-285.0,,https://www.bestfightodds.com/events/ufc-126-silva-vs-belfort-338,http://www.ufcstats.com/event-details/65ddc8a9ac4e8531,ufc-126-silva-vs-belfort-338,UFC 126: Silva vs Belfort
Ryan Bader,258.0,,https://www.bestfightodds.com/events/ufc-126-silva-vs-belfort-338,http://www.ufcstats.com/event-details/65ddc8a9ac4e8531,ufc-126-silva-vs-belfort-338,UFC 126: Silva vs Belfort
Demetrious Johnson,-105.0,,https://www.bestfightodds.com/events/ufc-126-silva-vs-belfort-338,http://www.ufcstats.com/event-details/65ddc8a9ac4e8531,ufc-126-silva-vs-belfort-338,UFC 126: Silva vs Belfort
Kenny Robertson,200.0,,https://www.bestfightodds.com/events/ufc-126-silva-vs-belfort-338,http://www.ufcstats.com/event-details/65ddc8a9ac4e8531,ufc-126-silva-vs-belfort-338,UFC 126: Silva vs Belfort
Chad Mendes,-365.0,,https://www.bestfightodds.com/events/ufc-126-silva-vs-belfort-338,http://www.ufcstats.com/event-details/65ddc8a9ac4e8531,ufc-126-silva-vs-belfort-338,UFC 126: Silva vs Belfort
Donald Cerrone,-275.0,,https://www.bestfightodds.com/events/ufc-126-silva-vs-belfort-338,http://www.ufcstats.com/event-details/65ddc8a9ac4e8531,ufc-126-silva-vs-belfort-338,UFC 126: Silva vs Belfort
Jon Fitch,-185.0,,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344,http://www.ufcstats.com/event-details/88a9bc81271ccd89,ufc-127-penn-vs-fitch-344,UFC 127: Penn vs Fitch
Chris Camozzi,170.0,,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344,http://www.ufcstats.com/event-details/88a9bc81271ccd89,ufc-127-penn-vs-fitch-344,UFC 127: Penn vs Fitch
Ross Pearson,-185.0,,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344,http://www.ufcstats.com/event-details/88a9bc81271ccd89,ufc-127-penn-vs-fitch-344,UFC 127: Penn vs Fitch
Alexander Gustafsson,-350.0,,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344,http://www.ufcstats.com/event-details/88a9bc81271ccd89,ufc-127-penn-vs-fitch-344,UFC 127: Penn vs Fitch
Mark Hunt,225.0,,https://www.bestfightodds.com/events/ufc-127-penn-vs-fitch-344,http://www.ufcstats.com/event-details/88a9bc81271ccd89,ufc-127-penn-vs-fitch-344,UFC 127: Penn vs Fitch
Jon Jones,-215.0,,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346,http://www.ufcstats.com/event-details/1411c630ba711b64,ufc-128-shogun-vs-jones-346,UFC 128: Shogun vs Jones
Mauricio Rua,195.0,,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346,http://www.ufcstats.com/event-details/1411c630ba711b64,ufc-128-shogun-vs-jones-346,UFC 128: Shogun vs Jones
Eddie Wineland,355.0,,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346,http://www.ufcstats.com/event-details/1411c630ba711b64,ufc-128-shogun-vs-jones-346,UFC 128: Shogun vs Jones
Urijah Faber,-400.0,,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346,http://www.ufcstats.com/event-details/1411c630ba711b64,ufc-128-shogun-vs-jones-346,UFC 128: Shogun vs Jones
Jim Miller,-255.0,,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346,http://www.ufcstats.com/event-details/1411c630ba711b64,ufc-128-shogun-vs-jones-346,UFC 128: Shogun vs Jones
Mirko Filipovic,225.0,,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346,http://www.ufcstats.com/event-details/1411c630ba711b64,ufc-128-shogun-vs-jones-346,UFC 128: Shogun vs Jones
Gleison Tibau,-145.0,,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346,http://www.ufcstats.com/event-details/1411c630ba711b64,ufc-128-shogun-vs-jones-346,UFC 128: Shogun vs Jones
Anthony Njokuani,220.0,,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346,http://www.ufcstats.com/event-details/1411c630ba711b64,ufc-128-shogun-vs-jones-346,UFC 128: Shogun vs Jones
Edson Barboza,-260.0,,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346,http://www.ufcstats.com/event-details/1411c630ba711b64,ufc-128-shogun-vs-jones-346,UFC 128: Shogun vs Jones
