fighter1,fighter2,weightclass,fighter1_odds,fighter2_odds,event_url,full_event_url,method,event,event_name,full_event_name
José Aldo,Jeremy Stephens,Featherweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,KO/TKO,fight-night-canada-july-28-2018,Alvarez vs Poirier 2,fight night canada july 28 2018 Alvarez vs Poirier 2
Joanna Jędrzejczyk,Tecia Torres,Women's Strawweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,DEC,fight-night-canada-july-28-2018,Alvarez vs Poirier 2,fight night canada july 28 2018 Alvarez vs Poirier 2
Alexander Hernandez,Olivier Aubin-Mercier,Lightweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,DEC,fight-night-canada-july-28-2018,Alvarez vs Poirier 2,fight night canada july 28 2018 Alvarez vs Poirier 2
Jordan Mein,Alex Morono,Welterweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,DEC,fight-night-canada-july-28-2018,Alvarez vs Poirier 2,fight night canada july 28 2018 Alvarez vs Poirier 2
Hakeem Dawodu,Austin Arnett,Featherweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,DEC,fight-night-canada-july-28-2018,Alvarez vs Poirier 2,fight night canada july 28 2018 Alvarez vs Poirier 2
Kajan Johnson,Islam Makhachev,Lightweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,SUB,fight-night-canada-july-28-2018,Alvarez vs Poirier 2,fight night canada july 28 2018 Alvarez vs Poirier 2
Gadzhimurad Antigulov,Ion Cutelaba,Light Heavyweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,KO/TKO,fight-night-canada-july-28-2018,Alvarez vs Poirier 2,fight night canada july 28 2018 Alvarez vs Poirier 2
John Makdessi,Ross Pearson,Lightweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,DEC,fight-night-canada-july-28-2018,Alvarez vs Poirier 2,fight night canada july 28 2018 Alvarez vs Poirier 2
Alexis Davis,Katlyn Chookagian,Women's Flyweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,DEC,fight-night-canada-july-28-2018,Alvarez vs Poirier 2,fight night canada july 28 2018 Alvarez vs Poirier 2
Dustin Ortiz,Matheus Nicolau,Flyweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,KO/TKO,fight-night-canada-july-28-2018,Alvarez vs Poirier 2,fight night canada july 28 2018 Alvarez vs Poirier 2
